"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name","Total recorded crime
 (excluding fraud)","Violence against
 the person",Homicide,"Death or serious
 injury caused by
 illegal driving",Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000002,Cumbria,,Unassigned Cumbria,,,427 ,203 ,0 ,0 ,64 ,58 ,81 ,53 ,8 ,66 ,3 ,0 ,3 ,10 ,1 ,0 ,1 ,51 ,21 ,16 ,4 ,40 ,16 
E23000018,Derbyshire,,,,,"85,610 ","36,598 ",14 ,24 ,"9,134 ","14,355 ","13,071 ","3,510 ",626 ,"20,281 ","3,781 ","2,614 ","1,167 ","4,508 ",687 ,689 ,"4,263 ","6,353 ","9,047 ","2,176 ",997 ,"10,335 ","2,040 "
E23000018,Derbyshire,E22000037,Amber Valley,E07000032,Amber Valley,"8,320 ","3,586 ",3 ,3 ,903 ,"1,316 ","1,361 ",340 ,39 ,"1,766 ",320 ,218 ,102 ,442 ,45 ,24 ,385 ,550 ,"1,032 ",208 ,105 ,"1,041 ",203 
E23000018,Derbyshire,E22000038,Bolsover,E07000033,Bolsover,"6,088 ","2,664 ",2 ,1 ,745 ,967 ,949 ,214 ,31 ,"1,462 ",257 ,173 ,84 ,508 ,25 ,24 ,228 ,420 ,706 ,108 ,47 ,675 ,181 
E23000018,Derbyshire,E22000039,Chesterfield,E07000034,Chesterfield,"9,870 ","4,174 ",0 ,4 ,"1,093 ","1,550 ","1,527 ",377 ,78 ,"2,529 ",492 ,330 ,162 ,538 ,102 ,42 ,649 ,706 ,987 ,229 ,110 ,"1,199 ",187 
E23000018,Derbyshire,E22000040,Derby,E06000015,Derby,"31,140 ","13,420 ",2 ,7 ,"3,293 ","5,819 ","4,299 ","1,291 ",335 ,"7,141 ","1,163 ",754 ,409 ,"1,287 ",397 ,448 ,"1,439 ","2,407 ","3,049 ",992 ,431 ,"3,809 ",672 
E23000018,Derbyshire,E22000041,Derbyshire Dales,E07000035,Derbyshire Dales,"3,260 ","1,259 ",0 ,2 ,350 ,486 ,421 ,149 ,9 ,862 ,234 ,164 ,70 ,142 ,15 ,12 ,171 ,288 ,335 ,94 ,38 ,393 ,121 
E23000018,Derbyshire,E22000042,Erewash,E07000036,Erewash,"8,632 ","3,503 ",1 ,2 ,902 ,"1,316 ","1,282 ",317 ,48 ,"2,347 ",318 ,216 ,102 ,449 ,38 ,78 ,837 ,627 ,928 ,206 ,97 ,"1,011 ",175 
E23000018,Derbyshire,E22000043,High Peak,E07000037,High Peak,"6,364 ","2,597 ",1 ,1 ,674 ,959 ,962 ,289 ,27 ,"1,594 ",452 ,355 ,97 ,348 ,17 ,30 ,264 ,483 ,755 ,110 ,50 ,803 ,139 
E23000018,Derbyshire,E22000044,North East Derbyshire,E07000038,North East Derbyshire,"5,535 ","2,454 ",4 ,3 ,568 ,801 ,"1,078 ",237 ,28 ,"1,216 ",327 ,241 ,86 ,372 ,22 ,12 ,98 ,385 ,632 ,75 ,49 ,688 ,156 
E23000018,Derbyshire,E22000045,South Derbyshire,E07000039,South Derbyshire,"5,886 ","2,674 ",0 ,1 ,568 ,"1,064 ","1,041 ",231 ,27 ,"1,298 ",203 ,156 ,47 ,405 ,24 ,17 ,188 ,461 ,601 ,130 ,59 ,690 ,176 
E23000018,Derbyshire,,Unassigned Derbyshire,,,515 ,267 ,1 ,0 ,38 ,77 ,151 ,65 ,4 ,66 ,15 ,7 ,8 ,17 ,2 ,2 ,4 ,26 ,22 ,24 ,11 ,26 ,30 
E23000035,Devon and Cornwall [note 4],,,,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000356,Cornwall,E06000052,Cornwall,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000362,East and Mid Devon,Combined Local Authorities,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000049,Exeter,E07000041,Exeter,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000050,Isles of Scilly,E06000053,Isles of Scilly,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000363,North Devon,Combined Local Authorities,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000056,Plymouth,E06000026,Plymouth,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000364,South Devon and Dartmoor,Combined Local Authorities,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,E22000060,Torbay,E06000027,Torbay,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000035,Devon and Cornwall,,Unassigned Devon and Cornwall ,,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000039,Dorset ,,,,,"51,557 ","20,298 ",6 ,7 ,"6,256 ","8,006 ","6,023 ","2,446 ",391 ,"15,709 ","2,825 ","1,912 ",913 ,"3,858 ",349 ,"1,012 ","2,891 ","4,774 ","6,449 ","1,139 ",323 ,"4,127 ",675 
E23000039,Dorset,combined,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole","30,078 ","11,418 ",4 ,2 ,"3,625 ","4,653 ","3,134 ","1,297 ",313 ,"10,054 ","1,536 ","1,087 ",449 ,"2,767 ",264 ,778 ,"1,924 ","2,785 ","3,553 ",692 ,196 ,"2,250 ",305 
E23000039,Dorset,E22000367,Dorset,E06000059,Dorset,"21,131 ","8,715 ",2 ,5 ,"2,587 ","3,307 ","2,814 ","1,090 ",76 ,"5,609 ","1,282 ",820 ,462 ,"1,083 ",83 ,233 ,963 ,"1,965 ","2,880 ",436 ,125 ,"1,851 ",349 
E23000039,Dorset,,Unassigned Dorset,,,348 ,165 ,0 ,0 ,44 ,46 ,75 ,59 ,2 ,46 ,7 ,5 ,2 ,8 ,2 ,1 ,4 ,24 ,16 ,11 ,2 ,26 ,21 
E23000008,Durham,,,,,"59,058 ","23,970 ",2 ,21 ,"5,624 ","8,768 ","9,555 ","2,240 ",174 ,"14,071 ","3,107 ","2,132 ",975 ,"2,477 ",252 ,399 ,"3,985 ","3,851 ","9,443 ","1,381 ",389 ,"5,833 ","1,557 "
E23000008,Durham,E22000365,County Durham,E06000047,County Durham,"47,704 ","19,112 ",2 ,17 ,"4,508 ","6,927 ","7,658 ","1,757 ",137 ,"11,538 ","2,688 ","1,853 ",835 ,"1,880 ",190 ,281 ,"3,386 ","3,113 ","7,995 ",923 ,300 ,"4,647 ","1,295 "
E23000008,Durham,E22000072,Darlington,E06000005,Darlington,"10,896 ","4,624 ",0 ,4 ,"1,096 ","1,767 ","1,757 ",440 ,37 ,"2,469 ",404 ,275 ,129 ,588 ,61 ,117 ,577 ,722 ,"1,376 ",448 ,88 ,"1,159 ",255 
E23000008,Durham,,Unassigned Durham,,,458 ,234 ,0 ,0 ,20 ,74 ,140 ,43 ,0 ,64 ,15 ,4 ,11 ,9 ,1 ,1 ,22 ,16 ,72 ,10 ,1 ,27 ,7 
W15000004,Dyfed-Powys,,,,,"42,856 ","21,277 ",8 ,5 ,"4,041 ","7,081 ","10,142 ","1,720 ",66 ,"6,470 ","1,283 ",910 ,373 ,615 ,113 ,174 ,"1,598 ","2,687 ","4,766 ","1,638 ",250 ,"5,838 ",831 
W15000004,Dyfed-Powys,W14000010,Carmarthenshire,W06000010,Carmarthenshire,"16,016 ","7,936 ",0 ,3 ,"1,385 ","2,552 ","3,996 ",546 ,30 ,"2,590 ",461 ,343 ,118 ,309 ,51 ,68 ,680 ,"1,021 ","1,745 ",635 ,70 ,"2,141 ",323 
W15000004,Dyfed-Powys,W14000008,Ceredigion,W06000008,Ceredigion,"5,987 ","3,004 ",1 ,0 ,661 ,"1,090 ","1,252 ",318 ,6 ,885 ,203 ,139 ,64 ,53 ,24 ,13 ,221 ,371 ,605 ,256 ,44 ,770 ,99 
W15000004,Dyfed-Powys,W14000009,Pembrokeshire,W06000009,Pembrokeshire,"11,305 ","5,689 ",7 ,0 ,"1,061 ","1,864 ","2,757 ",409 ,21 ,"1,575 ",304 ,218 ,86 ,129 ,28 ,46 ,420 ,648 ,"1,339 ",402 ,73 ,"1,600 ",197 
W15000004,Dyfed-Powys,W14000007,Powys,W06000023,Powys,"9,548 ","4,648 ",0 ,2 ,934 ,"1,575 ","2,137 ",447 ,9 ,"1,420 ",315 ,210 ,105 ,124 ,10 ,47 ,277 ,647 ,"1,077 ",345 ,63 ,"1,327 ",212 
W15000004,Dyfed-Powys,,Unassigned Dyfed-Powys,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
E23000028,Essex,,,,,"168,026 ","73,095 ",23 ,16 ,"16,189 ","29,508 ","27,359 ","6,508 ","1,427 ","43,021 ","6,798 ","5,025 ","1,773 ","11,965 ","1,290 ","1,577 ","9,137 ","12,254 ","15,445 ","5,442 ","1,483 ","18,110 ","3,495 "
E23000028,Essex,E22000079,Basildon,E07000066,Basildon,"20,261 ","8,815 ",2 ,0 ,"1,872 ","3,754 ","3,187 ",680 ,253 ,"4,912 ",664 ,526 ,138 ,"1,565 ",150 ,158 ,"1,208 ","1,167 ","1,910 ",747 ,225 ,"2,291 ",428 
E23000028,Essex,E22000080,Braintree,E07000067,Braintree,"11,764 ","5,145 ",0 ,1 ,"1,186 ","1,911 ","2,047 ",488 ,69 ,"3,014 ",536 ,340 ,196 ,681 ,58 ,68 ,829 ,842 ,"1,006 ",447 ,103 ,"1,253 ",239 
E23000028,Essex,E22000081,Brentwood,E07000068,Brentwood,"5,625 ","1,995 ",3 ,0 ,448 ,744 ,800 ,215 ,32 ,"1,987 ",341 ,240 ,101 ,710 ,56 ,46 ,281 ,553 ,441 ,193 ,27 ,619 ,116 
E23000028,Essex,E22000082,Castle Point,E07000069,Castle Point,"6,039 ","2,767 ",0 ,1 ,590 ,"1,052 ","1,124 ",245 ,49 ,"1,287 ",205 ,165 ,40 ,348 ,26 ,32 ,242 ,434 ,592 ,223 ,50 ,684 ,142 
E23000028,Essex,E22000083,Chelmsford,E07000070,Chelmsford,"15,799 ","6,497 ",1 ,1 ,"1,579 ","2,661 ","2,255 ",549 ,105 ,"4,767 ",803 ,615 ,188 ,"1,031 ",226 ,367 ,"1,019 ","1,321 ","1,308 ",498 ,118 ,"1,560 ",397 
E23000028,Essex,E22000084,Colchester,E07000071,Colchester,"18,902 ","8,604 ",2 ,2 ,"2,036 ","3,578 ","2,986 ",912 ,124 ,"4,213 ",681 ,450 ,231 ,719 ,129 ,258 ,"1,031 ","1,395 ","1,842 ",639 ,141 ,"2,054 ",373 
E23000028,Essex,E22000085,Epping Forest,E07000072,Epping Forest,"10,461 ","4,013 ",2 ,1 ,855 ,"1,585 ","1,570 ",287 ,96 ,"3,340 ",457 ,346 ,111 ,"1,383 ",62 ,34 ,546 ,858 ,"1,000 ",299 ,65 ,"1,140 ",221 
E23000028,Essex,E22000086,Harlow,E07000073,Harlow,"11,487 ","4,965 ",3 ,2 ,"1,067 ","2,063 ","1,830 ",371 ,90 ,"3,031 ",419 ,332 ,87 ,795 ,111 ,95 ,805 ,806 ,"1,020 ",432 ,123 ,"1,241 ",214 
E23000028,Essex,E22000087,Maldon,E07000074,Maldon,"3,765 ","1,876 ",0 ,2 ,402 ,678 ,794 ,152 ,11 ,762 ,174 ,118 ,56 ,197 ,15 ,19 ,80 ,277 ,366 ,76 ,31 ,404 ,87 
E23000028,Essex,E22000088,Rochford,E07000075,Rochford,"4,612 ","2,221 ",0 ,1 ,508 ,840 ,872 ,197 ,32 ,"1,024 ",192 ,147 ,45 ,303 ,18 ,14 ,146 ,351 ,399 ,94 ,25 ,504 ,116 
E23000028,Essex,E22000089,Southend-on-Sea,E06000033,Southend-on-Sea,"21,197 ","9,851 ",7 ,1 ,"2,147 ","4,136 ","3,560 ",832 ,287 ,"4,710 ",799 ,670 ,129 ,"1,076 ",157 ,246 ,969 ,"1,463 ","1,757 ",716 ,210 ,"2,448 ",386 
E23000028,Essex,E22000090,Tendring,E07000076,Tendring,"14,178 ","6,938 ",1 ,0 ,"1,555 ","2,661 ","2,721 ",521 ,71 ,"2,790 ",559 ,399 ,160 ,648 ,69 ,106 ,512 ,896 ,"1,480 ",366 ,107 ,"1,614 ",291 
E23000028,Essex,E22000091,Thurrock,E06000034,Thurrock,"16,808 ","6,454 ",2 ,1 ,"1,401 ","2,701 ","2,349 ",522 ,176 ,"5,420 ",673 ,477 ,196 ,"2,013 ",141 ,112 ,"1,245 ","1,236 ","1,645 ",470 ,135 ,"1,651 ",335 
E23000028,Essex,,Unassigned Essex,,,"1,725 ",906 ,0 ,0 ,135 ,286 ,485 ,341 ,9 ,173 ,28 ,14 ,14 ,37 ,4 ,5 ,24 ,75 ,56 ,76 ,19 ,101 ,44 
E23000028,Essex,E22000092,Uttlesford,E07000077,Uttlesford,"5,403 ","2,048 ",0 ,3 ,408 ,858 ,779 ,196 ,23 ,"1,591 ",267 ,186 ,81 ,459 ,68 ,17 ,200 ,580 ,623 ,166 ,104 ,546 ,106 
E23000037,Gloucestershire,,,,,"51,746 ","22,925 ",14 ,11 ,"6,240 ","7,829 ","8,831 ","2,051 ",338 ,"12,440 ","2,826 ","1,967 ",859 ,"1,935 ",298 ,664 ,"2,654 ","4,063 ","5,188 ","1,182 ",340 ,"6,128 ","1,154 "
E23000037,Gloucestershire,E22000093,Cheltenham,E07000078,Cheltenham,"10,591 ","4,226 ",2 ,4 ,"1,369 ","1,474 ","1,377 ",340 ,61 ,"2,962 ",546 ,423 ,123 ,511 ,76 ,207 ,806 ,816 ,"1,184 ",218 ,61 ,"1,345 ",194 
E23000037,Gloucestershire,E22000094,Cotswold,E07000079,Cotswold,"4,410 ","1,866 ",2 ,2 ,512 ,634 ,716 ,160 ,12 ,"1,236 ",464 ,245 ,219 ,217 ,24 ,30 ,105 ,396 ,451 ,64 ,19 ,513 ,89 
E23000037,Gloucestershire,E22000095,Forest of Dean,E07000080,Forest of Dean,"4,762 ","2,355 ",0 ,1 ,548 ,746 ,"1,060 ",186 ,14 ,876 ,249 ,177 ,72 ,128 ,10 ,21 ,109 ,359 ,520 ,109 ,34 ,529 ,139 
